type;message;auteur;date;heure;durée
Clear;1;Buraka#8154;15/08/2021;20:34:47;
Clear;4;Buraka#8154;15/08/2021;20:35:36;
Kick;!kick Oxie#5230 ;Buraka#8154;15/08/2021;20:42:35;
Ban;!Ban Oxie#5230 ;Buraka#8154;15/08/2021;20:47:35;
Ban;!Ban Oxie#5230 ;Buraka#8154;15/08/2021;20:55:28;
Ban;!Ban Oxie#5230 ;Buraka#8154;15/08/2021;20:55:44;
Ban;!Ban Oxie#5230 ;Buraka#8154;15/08/2021;20:59:59;
Unban;!Ban Oxie#5230 ;Buraka#8154;15/08/2021;21:00:19;
Mute;!tempmute Mudae#0807 1 r;Buraka#8154;03/10/2021;11:51:39;1
Mute;!tempmute Mudae#0807 1 r;Buraka#8154;2021-10-03;11:57:29;1
Mute;!tempmute Mudae#0807 1 r;Buraka#8154;2021-10-03;11:57:51;1
Kick;!kick Mushroom#3326 ;Buraka#8154;2021-10-26;18:14:37
Mute;!tempmute Mudae#0807 12 ;Buraka#8154;2021-10-26;18:52:56;12
